label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,25,insects,24,26,96.0,92.31,94.12,28,28,0.129143,0,0,24,0,0,1
3,2,insects,2,26,100.0,7.69,14.29,7,7,0.134057,0,0,2,0,0,0
4,21,birds,16,30,76.19,53.33,62.75,32,32,0.133791,16,0,1,0,2,2
5,1,birds,1,30,100.0,3.33,6.45,35,35,0.129598,1,0,0,0,0,0
6,1,reptiles,1,20,100.0,5.0,9.52,2,2,0.061602,0,0,0,0,1,0
7,20,mammals,14,30,70.0,46.67,56.0,20,20,0.153901,0,6,0,14,0,0
8,2,mammals,2,30,100.0,6.67,12.5,20,20,0.153901,0,0,0,2,0,0
9,16,insects,15,26,93.75,57.69,71.43,12,12,0.099932,0,0,15,0,0,1
10,17,reptiles,8,20,47.06,40.0,43.24,75,75,0.097057,6,0,0,2,8,1
11,3,reptiles,3,20,100.0,15.0,26.09,61,61,0.11021,0,0,0,0,3,0
12,16,birds,13,30,81.25,43.33,56.52,11,11,0.159044,13,0,1,0,0,2
13,11,birds,9,30,81.82,30.0,43.9,4,4,0.136037,9,0,1,0,0,1
14,18,reptiles,9,20,50.0,45.0,47.37,19,19,0.142873,4,1,0,4,9,0
15,2,mammals,1,30,50.0,3.33,6.25,17,17,0.166083,1,0,0,1,0,0
16,23,fish,16,23,69.57,69.57,69.57,17,17,0.166083,0,16,0,7,0,0
17,15,birds,6,30,40.0,20.0,26.67,9,9,0.083505,6,0,0,2,6,1
18,17,reptiles,8,20,47.06,40.0,43.24,14,14,0.086682,4,1,0,4,8,0
19,14,fish,10,23,71.43,43.48,54.05,7,7,0.225286,0,10,0,4,0,0
20,1,mammals,1,30,100.0,3.33,6.45,4,4,0.025154,0,0,0,1,0,0
21,1,insects,1,26,100.0,3.85,7.41,1,1,0.069815,0,0,1,0,0,0
22,14,birds,6,30,42.86,20.0,27.27,1,1,0.102669,6,0,0,2,5,1
23,9,reptiles,6,20,66.67,30.0,41.38,1,1,0.704312,3,0,0,0,6,0
